_id,mountPerItem,itemNameAr,itemName,serviceId,categoryId
ObjectId(5bacc3c67d1a7123248782f9),," عباية",Abaya,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bacc5867d1a712324878300),,بطانية,Blanket Large,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bacc6327d1a712324878306),,غترة,Ghutra,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bacc75a7d1a71232487830a),,بدلة عسكرية,Military Suit,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bacc7db7d1a71232487830d),,شماغ,Shemag,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bacc7fb7d1a71232487830e),," جوارب",Socks,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a3dbc479a701d6c7546)
ObjectId(5bacc8577d1a71232487830f),,ثوب صيفي,Thob,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bacc8c07d1a712324878311),," منشفة",Towel Large,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02ab6bc479a701d6c7547)
ObjectId(5bc0405ab07ea06689589057),,بطانية صغيرة,Blanket Small,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc04692b07ea06689589066),,مناشف صغير,Towel Small,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02ab6bc479a701d6c7547)
ObjectId(5bc046fdb07ea06689589075),,روب حمام,Bath Robe,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02ab6bc479a701d6c7547)
ObjectId(5bc04727b07ea06689589084),,شرشف كبير,Bed Sheet Large,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc04748b07ea06689589093),,شرشف صغير,Bed Sheet Small,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc04761b07ea066895890a2),,بيشت,Besht,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc0477cb07ea066895890b1),,بلوزة,Blouse,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc04794b07ea066895890c0),,طاقية,Cap,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc047beb07ea066895890cf),,سجاد صيني,China-Carpet,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc047f4b07ea066895890de),,لحاف كبير,Comforter Large,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc04813b07ea066895890ed),,لحاف صغير,Comforter Small,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc04832b07ea066895890fc),,لحاف مزخرف,Comforter Special,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc04848b07ea0668958910b),,ستائر,Curtain,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc04867b07ea0668958911a),,فستان قطعتين,Dress 2 pcs,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc0487eb07ea06689589129),,فستان,Dress,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc048a3b07ea06689589138),,فستان مسائية,Evening Dress,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc048beb07ea06689589147),,فروة,Farwah,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc048e5b07ea06689589156),,جاكيت,Jacket,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc0494bb07ea06689589165),,بالطو,Lab Coat,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc04988b07ea06689589174),,جاكيت نسائي,Lady Jacket,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc049afb07ea06689589183),,جاكيت جلد طبيعي,Leather Jacket Normal,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc049f6b07ea06689589192),,جاكيت جلد صناعي,Leather Jacket,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc04a50b07ea066895891a1),,كرافيتة,Nick Tie,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc04a7ab07ea066895891b0),,قميص نوم,Night Gown 1 pcs,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc04aa3b07ea066895891bf),,قميص نوم قطعتين,Night Gown 2 pcs,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc04abeb07ea066895891ce),,اوفر كوت,Over Coat,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc04ae2b07ea066895891dd),,بيجاما قطعتين,Pajama 2 pcs,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc04b10b07ea066895891ec),,بدلة باكستاني,Pakistani Dress Starch,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc04b7bb07ea066895891fb),,بدلة باكستاني,Pakistani Dress,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc04ca6b07ea0668958920a),,وجة مخدة,Pillow Case,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc04cd2b07ea06689589219),,مخدة,Pillow,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc04cf6b07ea06689589228),,تنورة تكسير,Plate Skirt,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc04d35b07ea06689589237),,سجاد عادي,Regular Carpet,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc04d79b07ea06689589246),,طرحة,Scarf,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
